"price","brand","mileage"
21500,"chevrolet",20270
25900,"chevrolet",32984
35300,"chevrolet",75506
13500,"chevrolet",39951
62000,"chevrolet",19403
46000,"chevrolet",4445
9000,"chevrolet",67527
25900,"chevrolet",33588
25800,"chevrolet",10103
17000,"chevrolet",26474
12800,"chevrolet",40253
47400,"chevrolet",39624
24400,"chevrolet",48705
17100,"chevrolet",19659
7400,"chevrolet",91299
33100,"chevrolet",81614
22000,"chevrolet",179
35000,"chevrolet",5523
16500,"chevrolet",29841
35300,"chevrolet",8516
26900,"chevrolet",42941
11600,"chevrolet",27498
28100,"chevrolet",31141
27700,"chevrolet",20784
17700,"chevrolet",52667
16600,"chevrolet",26003
63200,"chevrolet",4266
36800,"chevrolet",32332
19500,"chevrolet",44333
38800,"chevrolet",36198
37500,"chevrolet",33331
35000,"chevrolet",43082
31100,"chevrolet",24561
22600,"chevrolet",13485
22400,"chevrolet",15524
22700,"chevrolet",8996
13700,"chevrolet",47282
37100,"chevrolet",34470
18500,"chevrolet",87264
18300,"chevrolet",114344
19000,"chevrolet",111635
18500,"chevrolet",103955
22500,"chevrolet",66640
14500,"chevrolet",122018
32800,"chevrolet",46915
12300,"chevrolet",53599
19600,"chevrolet",41672
13600,"chevrolet",36047
7200,"chevrolet",42561
19900,"chevrolet",40345
13000,"chevrolet",41751
19700,"chevrolet",27593
9400,"chevrolet",24009
23800,"chevrolet",85697
17700,"chevrolet",25223
17000,"chevrolet",27927
14000,"chevrolet",135127
32100,"chevrolet",55532
33100,"chevrolet",72172
31600,"chevrolet",57751
5100,"chevrolet",96314
4100,"chevrolet",89152
7200,"chevrolet",114660
12800,"chevrolet",177322
46800,"chevrolet",36423
21800,"chevrolet",23759
3000,"chevrolet",120667
22500,"chevrolet",65344
35300,"chevrolet",51347
16500,"chevrolet",52322
33000,"chevrolet",67620
31500,"chevrolet",59965
34500,"chevrolet",28739
8000,"chevrolet",77429
25000,"chevrolet",20847
10700,"chevrolet",44280
13400,"chevrolet",86031
16500,"chevrolet",7622
34000,"chevrolet",8067
14100,"chevrolet",16502
38600,"chevrolet",20681
9100,"chevrolet",54655
8600,"chevrolet",57825
22000,"chevrolet",58856
8900,"chevrolet",85072
15500,"chevrolet",79506
3300,"chevrolet",85301
29000,"chevrolet",69377
17300,"chevrolet",15577
30500,"chevrolet",23470
25000,"chevrolet",18715
2800,"chevrolet",61258
3300,"chevrolet",131791
36400,"chevrolet",35705
34800,"chevrolet",48982
20700,"chevrolet",33745
32200,"chevrolet",42267
35300,"chevrolet",46863
33500,"chevrolet",36443
13700,"chevrolet",14939
15900,"chevrolet",22026
33200,"chevrolet",38278
35500,"chevrolet",46149
29800,"chevrolet",48427
29800,"chevrolet",48807
29500,"chevrolet",52618
30300,"chevrolet",46494
24300,"chevrolet",56296
29800,"chevrolet",33909
29800,"chevrolet",33028
27500,"chevrolet",44653
10800,"chevrolet",80516
11500,"chevrolet",105151
10400,"chevrolet",78368
11400,"chevrolet",78956
11400,"chevrolet",88564
8000,"chevrolet",78800
3000,"chevrolet",111856
25000,"chevrolet",80946
12300,"chevrolet",83168
14100,"chevrolet",58606
9000,"chevrolet",82020
4200,"chevrolet",102500
22500,"chevrolet",8150
22600,"chevrolet",6159
22600,"chevrolet",5938
22500,"chevrolet",9019
10200,"chevrolet",45836
42700,"chevrolet",60215
21200,"chevrolet",125507
22700,"chevrolet",90944
22000,"chevrolet",82785
9600,"chevrolet",150525
10500,"chevrolet",112267
6700,"chevrolet",139394
14200,"chevrolet",82543
15500,"chevrolet",13532
35100,"chevrolet",14751
26300,"chevrolet",11150
15700,"chevrolet",91248
17600,"chevrolet",65336
18600,"chevrolet",48974
19100,"chevrolet",40011
15200,"chevrolet",37444
16100,"chevrolet",43199
14800,"chevrolet",43589
16700,"chevrolet",32870
15300,"chevrolet",38826
16500,"chevrolet",33739
19600,"chevrolet",35309
15200,"chevrolet",32248
15000,"chevrolet",36165
15500,"chevrolet",29922
15700,"chevrolet",26848
14800,"chevrolet",41163
9200,"chevrolet",32856
8200,"chevrolet",100315
11400,"chevrolet",91638
6500,"chevrolet",83173
11500,"chevrolet",94356
23800,"chevrolet",85792
8900,"chevrolet",129068
28300,"chevrolet",27665
27300,"chevrolet",25427
3500,"chevrolet",78198
28300,"chevrolet",13886
18300,"chevrolet",34538
22500,"dodge",20575
22500,"dodge",26026
8300,"dodge",99015
16500,"dodge",27327
14500,"dodge",30229
30000,"dodge",43294
30000,"dodge",54309
30000,"dodge",52822
30000,"dodge",45554
30000,"dodge",37538
29500,"dodge",35153
21600,"dodge",23783
22600,"dodge",30759
16300,"dodge",38922
8600,"dodge",165836
28800,"dodge",19235
22100,"dodge",9445
14300,"dodge",19164
13700,"dodge",54106
29500,"dodge",32051
18500,"dodge",14870
19000,"dodge",32294
43400,"dodge",7250
46000,"dodge",10145
12500,"dodge",59924
13900,"dodge",21304
13000,"dodge",52079
13000,"dodge",54960
3000,"dodge",80099
17500,"dodge",23987
7900,"dodge",84144
8900,"dodge",85639
11500,"dodge",50193
6500,"dodge",74392
8000,"dodge",76117
18700,"dodge",36358
8350,"dodge",90685
27900,"dodge",54141
14500,"dodge",82240
6200,"dodge",66167
7500,"dodge",144220
20200,"dodge",24722
29300,"dodge",41198
31000,"dodge",26353
32400,"dodge",28280
5800,"dodge",130120
21500,"dodge",15340
23100,"dodge",12265
4500,"dodge",94872
24800,"dodge",17946
23000,"dodge",26996
26900,"dodge",5775
21500,"dodge",6748
15700,"dodge",38128
15200,"dodge",41636
23300,"dodge",5359
6100,"dodge",70296
20000,"dodge",11346
53000,"dodge",7415
3000,"dodge",107593
18200,"dodge",50639
21800,"dodge",6530
52000,"dodge",17432
19000,"dodge",19636
25000,"dodge",41748
36000,"dodge",13162
17000,"dodge",32937
25300,"dodge",23095
14900,"dodge",34432
15000,"dodge",48162
12995,"dodge",68310
17750,"dodge",48000
10295,"dodge",105962
16995,"dodge",96575
25000,"dodge",13239
23995,"dodge",24934
14900,"dodge",46859
15810,"dodge",44468
20227,"dodge",62230
20999,"dodge",37082
22499,"dodge",23964
23495,"dodge",11204
25250,"dodge",7608
15322,"dodge",49982
21232,"dodge",4950
5800,"dodge",111628
29000,"dodge",15927
17000,"dodge",36299
13800,"dodge",28469
30000,"dodge",29086
14800,"dodge",35991
8500,"dodge",62224
9800,"dodge",86500
4200,"dodge",144725
2500,"dodge",163260
28700,"dodge",19636
18500,"dodge",34272
17300,"dodge",42909
7100,"dodge",55749
3250,"dodge",89142
30700,"dodge",20328
3000,"dodge",149332
26500,"dodge",28551
20800,"dodge",35098
20800,"dodge",35365
5100,"dodge",88398
18900,"dodge",27957
24000,"dodge",30161
38800,"dodge",26292
24500,"dodge",25780
24500,"dodge",25032
6500,"dodge",72248
24000,"dodge",30630
18000,"dodge",86125
24000,"dodge",30408
23500,"dodge",35443
4500,"dodge",95377
25900,"dodge",32724
13900,"dodge",45089
14200,"dodge",35948
15400,"dodge",41601
17500,"dodge",26370
17500,"dodge",18271
18000,"dodge",9476
25200,"dodge",80899
14100,"dodge",57394
13300,"dodge",42190
16200,"dodge",22591
13300,"dodge",48681
13100,"dodge",42621
15500,"dodge",27761
4500,"dodge",107768
28400,"dodge",14355
17400,"dodge",9467
6000,"dodge",122837
20700,"dodge",18313
20300,"dodge",19506
14000,"dodge",14750
22000,"dodge",11280
17200,"dodge",13944
15000,"dodge",26922
17500,"dodge",12690
1300,"dodge",239822
1750,"dodge",74975
16300,"dodge",28289
15700,"dodge",38041
10000,"dodge",52386
23100,"dodge",34391
14900,"dodge",39515
16700,"dodge",22074
16300,"dodge",28782
25800,"dodge",30092
23800,"dodge",26443
16800,"dodge",28981
15500,"dodge",32865
6000,"dodge",117258
26900,"dodge",16397
16900,"dodge",16176
19500,"dodge",1091
15400,"dodge",17472
2300,"dodge",123882
17000,"dodge",10341
34000,"dodge",19695
13700,"dodge",51041
19100,"dodge",22646
11800,"dodge",18138
27500,"dodge",23987
26900,"dodge",17160
27100,"dodge",26929
27200,"dodge",25815
9000,"dodge",81992
22500,"dodge",5000
7700,"dodge",62683
4500,"dodge",107224
2200,"dodge",184905
21500,"dodge",35153
18800,"dodge",26474
21800,"dodge",30943
20300,"dodge",17154
8200,"dodge",79637
19000,"dodge",12123
